rank,code,name,industry,market,ticker,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources,candidate_score,snapshot_date,first_seen_date,appearance_count,consecutive_appearances,previous_yahoo_rank,yahoo_rank_change,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,score_return_20d,score_return_60d,score_return_120d,score_distance_ma20,score_distance_ma60,score_avg_turnover_20d,score_volume_ratio_20d,score_distance_high_120d,score_volatility_20d,score,momentum_score,trend_score,liquidity_score,evaluation_version,rule_price_floor,rule_liquidity_floor,rule_momentum_20_positive,rule_momentum_60_positive,rule_above_ma20,rule_above_ma60,rule_trend_alignment,rule_volume_expansion,rule_near_120d_high,rule_overheat_control,rule_volatility_control,rule_daily_base,universe_source,universe_label,liquidity_rank,in_yahoo_pool
1,6976,太陽誘電,電気機器,プライム,6976.T,,6.0,2.0,値上がり率・出来高,,,,,,,,2026-06-15,19285.0,0.2263910969793323,0.287813021702838,1.6807061440088962,3.901383005120892,4.360929803636846,13754.8,8183.17285563151,0.4020560095384884,1.3566653595406355,0.0,1.4734893907131663,36041200.0,19837430.0,1.8168280871060412,325260047195.0,243,19.816666666666663,17.835,9.908333333333331,9.908333333333331,9.908333333333331,9.908333333333331,7.826666666666667,6.661666666666667,0.0758333333333333,91.85,47.56,19.82,17.74,v4,True,True,True,True,True,True,True,True,True,False,False,False,jpx_liquidity,JPX流動性,4.0,True
2,8035,東京エレクトロン,電気機器,プライム,8035.T,,133.0,1.0,出来高,,,,,,,,2026-06-15,72760.0,0.07,0.3224282079243912,0.4770604953308972,0.8758718926581552,1.3314407791980054,56222.0,47928.372265625,0.2941553128668492,0.5180987077290049,0.0,0.7960159048230935,4611000.0,4016975.0,1.1478786898101183,240199486500.0,243,19.816666666666663,17.520000000000003,9.533333333333337,9.908333333333331,9.908333333333331,9.908333333333331,6.466666666666666,6.661666666666667,0.665,90.39,46.87,19.82,16.38,v4,True,True,True,True,True,True,True,False,True,False,True,False,jpx_liquidity,JPX流動性,6.0,True
3,4062,イビデン,電気機器,プライム,4062.T,,13.0,2.0,値上がり率・出来高,,,,,,,,2026-06-15,22750.0,0.190787751897409,0.3335287221570926,0.4550687559961623,1.7968270131998088,2.573711285209881,19502.5,13762.009733072917,0.1665171131906166,0.653101577549906,-0.0108695652173913,1.289871078524946,9816600.0,8140205.0,1.2059401452420424,162702354775.0,243,19.816666666666663,17.835,9.908333333333331,9.8,9.908333333333331,9.908333333333331,6.84,6.101666666666668,0.0758333333333333,90.19,47.56,19.71,16.75,v4,True,True,True,True,True,True,True,True,True,False,False,False,jpx_liquidity,JPX流動性,9.0,True
4,3436,ＳＵＭＣＯ,金属製品,プライム,3436.T,,16.0,2.0,値上がり率・出来高,,,,,,,,2026-06-15,4305.0,0.1784834382699152,0.2223168654173763,0.4388368983957218,1.6639851485148514,2.202962961617459,3637.75,2720.95,0.1834238196687512,0.5821679927966337,-0.0345368916797488,1.2281826679870074,18322400.0,13668695.0,1.3404644700902315,51022794840.0,243,19.816666666666663,17.835,9.908333333333331,9.908333333333331,9.908333333333331,9.45,7.253333333333333,5.623333333333332,0.175,89.88,47.56,19.82,16.7,v4,True,True,True,True,True,True,True,True,True,False,False,False,jpx_liquidity,JPX流動性,34.0,True
5,6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,電気機器,プライム,6525.T,,32.0,2.0,値上がり率・出来高,,,,,,,,2026-06-15,9958.0,0.1220281690140845,0.3735172413793104,0.4827278141751041,0.857152666009672,1.0741674617444763,7764.55,6720.417667643229,0.2824954440373235,0.4817531428061008,0.0,1.035835006207348,9036400.0,7639680.0,1.1828244114936752,59760095225.0,243,19.816666666666663,17.49,9.383333333333333,9.908333333333331,9.908333333333331,9.55,6.653333333333333,6.661666666666667,0.28,89.65,46.69,19.82,16.2,v4,True,True,True,True,True,True,True,False,True,False,False,False,jpx_liquidity,JPX流動性,28.0,True
6,285A,キオクシアホールディングス,電気機器,プライム,285A.T,,17.0,2.0,値上がり率・出来高,,,,,,,,2026-06-15,90910.0,0.1195812807881773,0.2647468002225932,0.7669582118561711,3.019898297590095,8.19211324570273,68947.5,43996.0,0.3185394684361289,1.0663242112919358,0.0,0.9800285044349208,33746100.0,38280540.0,0.8815471255107686,2741374670800.0,243,19.816666666666663,17.835,9.908333333333331,9.908333333333331,9.908333333333331,9.908333333333331,4.253333333333333,6.661666666666667,0.3383333333333332,88.54,47.56,19.82,14.16,v4,True,True,True,True,True,True,True,False,True,False,False,False,jpx_liquidity,JPX流動性,1.0,True
7,7735,ＳＣＲＥＥＮホールディングス,電気機器,プライム,7735.T,,,,,,,,,,,,2026-06-15,14860.0,0.0656149157404086,0.2636054421768707,0.3651814423518604,0.5573712523364447,1.2726169907566058,11913.75,10844.63126627604,0.2472982897912077,0.3702632791407765,0.0,0.8503996074112689,3138900.0,2659700.0,1.1801706959431515,32754207700.0,243,19.53333333333333,16.65,9.5,9.908333333333331,9.683333333333335,9.316666666666665,6.64,6.661666666666667,0.5133333333333333,88.41,45.68,19.59,15.96,v4,True,True,True,True,True,True,True,False,True,False,False,False,jpx_liquidity,JPX流動性,42.0,False
8,6278,ユニオンツール,機械,プライム,6278.T,,115.0,1.0,値上がり率,,,,,,,,2026-06-15,26430.0,0.0778955954323001,0.2298743601675197,0.329476861167002,0.777404169468729,1.9778882528296704,22234.0,18168.166666666668,0.1887199784114419,0.4547422689869642,0.0,0.6437063487354525,437700.0,349135.0,1.253669783894482,7865989450.0,243,19.3,17.37,9.908333333333331,9.908333333333331,9.8,6.933333333333335,7.013333333333334,6.661666666666667,1.2133333333333334,88.11,46.58,19.71,13.95,v4,True,True,True,True,True,True,True,True,True,False,True,False,jpx_liquidity,JPX流動性,185.0,True
9,6971,京セラ,電気機器,プライム,6971.T,,72.0,1.0,出来高,,,,,,,,2026-06-15,3837.0,0.0452192862980114,0.0744889386726406,0.3539167254763584,0.5775730271167647,0.7263807166406588,3414.575,2883.663159179688,0.1237123214455679,0.3305992372186448,-0.0194224380270892,0.4759068307465451,7384800.0,8202285.0,0.9003344799650341,29123627972.5,243,19.5,16.8,8.783333333333333,9.566666666666668,9.583333333333336,9.216666666666663,4.56,5.9383333333333335,2.3566666666666665,86.3,45.08,19.15,13.78,v4,True,True,True,True,True,True,True,False,True,True,True,True,jpx_liquidity,JPX流動性,48.0,True
10,5332,ＴＯＴＯ,ガラス・土石製品,プライム,5332.T,,,,,,,,,,,,2026-06-15,8190.0,0.0662674130972529,0.0686325678496868,0.1819887429643527,0.4385140623970842,0.9156894793845852,7387.15,6324.049650065104,0.108681968012021,0.2950562461057981,0.0,0.5659871232558206,1996200.0,1534540.0,1.3008458560871663,11940853735.0,243,18.13333333333333,15.93,9.183333333333332,9.466666666666669,9.466666666666669,7.933333333333333,7.173333333333333,6.661666666666667,1.715,85.66,43.25,18.93,15.11,v4,True,True,True,True,True,True,True,True,True,True,True,True,jpx_liquidity,JPX流動性,125.0,False
