evaluation_version,factor_key,factor_label,transition_count,avg_turnover,median_turnover,latest_turnover,latest_transition_date,status
v4,score,総合スコア,0,,,,,サンプル不足
v4,return_20d,20日モメンタム,0,,,,,サンプル不足
v4,return_60d,60日モメンタム,0,,,,,サンプル不足
v4,return_120d,120日モメンタム,0,,,,,サンプル不足
v4,distance_ma20,20日移動平均乖離,0,,,,,サンプル不足
v4,distance_ma60,60日移動平均乖離,0,,,,,サンプル不足
v4,avg_turnover_20d,20日平均売買代金,0,,,,,サンプル不足
v4,volume_ratio_20d,出来高比,0,,,,,サンプル不足
v4,distance_high_120d,120日高値接近度,0,,,,,サンプル不足
v4,volatility_20d,20日変動率,0,,,,,サンプル不足
v5,score,総合スコア,0,,,,,サンプル不足
v5,return_20d,20日モメンタム,0,,,,,サンプル不足
v5,return_60d,60日モメンタム,0,,,,,サンプル不足
v5,return_120d,120日モメンタム,0,,,,,サンプル不足
v5,distance_ma20,20日移動平均乖離,0,,,,,サンプル不足
v5,distance_ma60,60日移動平均乖離,0,,,,,サンプル不足
v5,avg_turnover_20d,20日平均売買代金,0,,,,,サンプル不足
v5,volume_ratio_20d,出来高比,0,,,,,サンプル不足
v5,distance_high_120d,120日高値接近度,0,,,,,サンプル不足
v5,volatility_20d,20日変動率,0,,,,,サンプル不足
v7,score,総合スコア,24,0.65,0.65,0.6,2026-07-23,評価可能
v7,return_20d,20日モメンタム,24,0.6520833333333332,0.65,0.55,2026-07-23,評価可能
v7,return_60d,60日モメンタム,24,0.5625,0.55,0.55,2026-07-23,評価可能
v7,return_120d,120日モメンタム,24,0.5895833333333332,0.55,0.65,2026-07-23,評価可能
v7,distance_ma20,20日移動平均乖離,24,0.7020833333333334,0.7,0.8,2026-07-23,評価可能
v7,distance_ma60,60日移動平均乖離,24,0.5833333333333334,0.55,0.55,2026-07-23,評価可能
v7,avg_turnover_20d,20日平均売買代金,24,0.20625000000000002,0.175,0.19999999999999996,2026-07-23,評価可能
v7,volume_ratio_20d,出来高比,24,0.88125,0.9,0.85,2026-07-23,評価可能
v7,distance_high_120d,120日高値接近度,24,0.8416666666666667,0.85,0.8,2026-07-23,評価可能
v7,volatility_20d,20日変動率,24,0.6770833333333334,0.7,0.5,2026-07-23,評価可能
